求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
8008-2645-0003,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（ジュエリーツツミなど人気ブランド取り扱い）,非公開,東京都,正社員,boAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0017,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（CHANELなど人気ブランド取り扱い）,非公開,東京都,正社員,salAB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0019,"20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（サルヴァトーレ フェラガモ など人気ブランド取り扱い）",非公開,東京都,正社員,salAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0020,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（GIVENCHYなど人気ブランド取り扱い）,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0021,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（D&Gなど人気ブランド取り扱い）,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0022,20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（GUCCIなど人気ブランド取り扱い）,非公開,東京都,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0023,"20代活躍中/未経験可/香水の代理店向け販促営業～月平均残業10H以下（ANNA SUIなど人気ブランド取り扱い）",非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0063,20代活躍中/未経験可/クラウドファンディングのサポート事務,非公開,神奈川県,正社員,boAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0067,20代活躍中/未経験可/クラウドファンディングのサポート事務,非公開,福岡県,正社員,boAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0068,20代活躍中/未経験可/クラウドファンディングのサポート事務,非公開,福岡県,正社員,boAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0069,20代活躍中/未経験可/クラウドファンディングのサポート事務,非公開,大阪府,正社員,boAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0076,20代活躍中/未経験可/クラウドファンディングのサポート事務,非公開,愛知県,正社員,boAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0079,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（ジュエリーツツミなど人気ブランド取り扱い）,非公開,埼玉県,正社員,boAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0093,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（ジュエリーツツミなど人気ブランド取り扱い）,非公開,福岡県,正社員,boAB,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0100,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（ジュエリーツツミなど人気ブランド取り扱い）,非公開,大阪府,正社員,boAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0102,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（ジュエリーツツミなど人気ブランド取り扱い）,非公開,愛知県,正社員,boAB,公開中,5,1,20.0%,￥25,￥25,0,0,0.0%,￥0
8008-2645-0107,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（4℃など人気ブランド取り扱い）,非公開,埼玉県,正社員,boAB,公開中,7,1,14.3%,￥25,￥25,0,0,0.0%,￥0
8008-2645-0109,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（4℃など人気ブランド取り扱い）,非公開,埼玉県,正社員,boAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0111,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（4℃など人気ブランド取り扱い）,非公開,千葉県,正社員,boAB,公開中,8,1,12.5%,￥25,￥25,0,0,0.0%,￥0
8008-2645-0112,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（4℃など人気ブランド取り扱い）,非公開,神奈川県,正社員,boAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0120,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（4℃など人気ブランド取り扱い）,非公開,福岡県,正社員,boAB,公開中,6,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0126,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（4℃など人気ブランド取り扱い）,非公開,大阪府,正社員,boAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0128,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（4℃など人気ブランド取り扱い）,非公開,愛知県,正社員,boAB,公開中,7,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0131,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（Swarovskiなど人気ブランド取り扱い）,非公開,埼玉県,正社員,boAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0136,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（Swarovskiなど人気ブランド取り扱い）,非公開,千葉県,正社員,boAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0140,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（Swarovskiなど人気ブランド取り扱い）,非公開,神奈川県,正社員,boAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0143,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（Swarovskiなど人気ブランド取り扱い）,非公開,東京都,正社員,boAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0144,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（Swarovskiなど人気ブランド取り扱い）,非公開,東京都,正社員,boAB,公開中,6,1,16.7%,￥25,￥25,0,0,0.0%,￥0
8008-2645-0147,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（Swarovskiなど人気ブランド取り扱い）,非公開,大阪府,正社員,boAB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0150,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（Swarovskiなど人気ブランド取り扱い）,非公開,大阪府,正社員,boAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0153,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（Swarovskiなど人気ブランド取り扱い）,非公開,愛知県,正社員,boAB,公開中,4,1,25.0%,￥25,￥25,0,0,0.0%,￥0
8008-2645-0161,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（アガットなど人気ブランド取り扱い）,非公開,埼玉県,正社員,boAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0172,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（アガットなど人気ブランド取り扱い）,非公開,福岡県,正社員,boAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0175,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（アガットなど人気ブランド取り扱い）,非公開,大阪府,正社員,boAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0184,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（スタージュエリーなど人気ブランド取り扱い）,非公開,埼玉県,正社員,boAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0191,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（スタージュエリーなど人気ブランド取り扱い）,非公開,神奈川県,正社員,boAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0192,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（スタージュエリーなど人気ブランド取り扱い）,非公開,神奈川県,正社員,boAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0194,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（スタージュエリーなど人気ブランド取り扱い）,非公開,神奈川県,正社員,boAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8008-2645-0195,駅チカ徒歩5分　20代活躍中/未経験可/ブランドピアス/オンラインショップ～内勤営業事務（スタージュエリーなど人気ブランド取り扱い）,非公開,東京都,正社員,boAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
