求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
6740-8120-8297,価格高騰中！トレーディングカード専門店での接客販売//20代活躍中/20代活躍中/各種手当や社割充実・週休2日/CS8,非公開,千葉県,正社員,cusAB,公開中,23,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8298,価格高騰中！トレーディングカード専門店での接客販売//20代活躍中/20代活躍中/各種手当や社割充実・週休2日/CS8,非公開,神奈川県,正社員,cusAB,公開中,26,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8360,トレカやフィギュア好き必見！！ホビーショップの販売員/20代活躍中/各種手当や社割充実・週休2日/CS8,非公開,東京都,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8364,トレカやフィギュア好き必見！！ホビーショップの販売員/20代活躍中/各種手当や社割充実・週休2日/CS8,非公開,福岡県,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8370,トレカやフィギュア好き必見！！ホビーショップの販売員/20代活躍中/各種手当や社割充実・週休2日/CS8,非公開,大阪府,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8376,トレカやフィギュア好き必見！！ホビーショップの販売員/20代活躍中/各種手当や社割充実・週休2日/CS8,非公開,愛知県,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8377,トレカやフィギュア好き必見！！ホビーショップの店長候補！トレカやフィギュアの魅力が詰まった店舗/20代活躍中/各種手当や社割充実・週休2日/CS8,非公開,北海道,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8379,トレカやフィギュア好き必見！！ホビーショップの店長候補！トレカやフィギュアの魅力が詰まった店舗/20代活躍中/各種手当や社割充実・週休2日/CS8,非公開,北海道,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8393,トレカやフィギュア好き必見！！ホビーショップの店長候補！トレカやフィギュアの魅力が詰まった店舗/20代活躍中/各種手当や社割充実・週休2日/CS8,非公開,宮城県,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8396,トレカやフィギュア好き必見！！ホビーショップの店長候補！トレカやフィギュアの魅力が詰まった店舗/20代活躍中/各種手当や社割充実・週休2日/CS8,非公開,埼玉県,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8425,トレカやフィギュア好き必見！！ホビーショップの店長候補！トレカやフィギュアの魅力が詰まった店舗/20代活躍中/各種手当や社割充実・週休2日/CS8,非公開,福岡県,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8501,映画館の劇場マネージャー/20代活躍中/週休2日・美容手当や社割などの福利厚生充実/CS8,非公開,愛知県,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8502,人気植物やプランターなど豊富な品揃えが特徴！ガーデニング専門店での接客販売/20代活躍中/20代活躍中/社割充実・週休2日/CS8,非公開,北海道,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8507,人気植物やプランターなど豊富な品揃えが特徴！ガーデニング専門店での接客販売/20代活躍中/20代活躍中/社割充実・週休2日/CS8,非公開,兵庫県,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8517,人気植物やプランターなど豊富な品揃えが特徴！ガーデニング専門店での接客販売/20代活躍中/20代活躍中/社割充実・週休2日/CS8,非公開,宮城県,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8523,人気植物やプランターなど豊富な品揃えが特徴！ガーデニング専門店での接客販売/20代活躍中/20代活躍中/社割充実・週休2日/CS8,非公開,埼玉県,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
