求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
4065-7874-0001,ブランド品・雑貨の鑑定士/買取スタッフ募集（千葉・埼玉）未経験可/CI202248ECS,株式会社エコリング,東京都,正社員,all_月額5万円,公開中,6,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4065-7874-0002,(WEBマーケター)未経験可成長中ベンチャーで挑戦しませんか？/CI201364KMK,株式会社AXIS,東京都,正社員,all_月額5万円,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4065-7874-0003,未経験可経営者直下で営業コンサルに挑戦、年収1500万円も可能/CI201332KMK,株式会社WEEVA,東京都,正社員,all_月額5万円,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4065-7874-0004,インサイドセールス募集販売・接客経験者歓迎、成長ベンチャー/CI35270ECS,スマートキャンプ株式会社,北海道,正社員,all_月額5万円,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4065-7874-0005,インサイドセールス｜横浜・札幌・福岡｜賞与3.5ヶ月・住宅手当あり｜土日祝休・残業少なめ/CI35270ECS,スマートキャンプ株式会社,福岡県,正社員,all_月額5万円,公開中,8,1,12.5%,￥25,￥25,0,0,0.0%,￥0
4065-7874-0006,インサイドセールス｜土日祝休・残業少なめ｜賞与3.5ヶ月・住宅手当あり｜横浜・札幌・福岡/CI35270ECS,スマートキャンプ株式会社,大阪府,正社員,all_月額5万円,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4065-7874-0007,(ビル美観管理)兵庫・川西／月給27万円～／土日祝休／残業少/CI200933KFS,株式会社コスモビルマネジメント,兵庫県,正社員,all_月額5万円,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4065-7874-0008,法人営業／未経験可／残業月3時間／年休130日以上／土日祝休み/CI200900ECS,株式会社GC.Union,東京都,正社員,all_月額5万円,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4065-7874-0009,行政経験者歓迎営業職募集／土日休／残業少／転勤なし／引越補助あり/CI200664ECS,株式会社アローリンク,東京都,正社員,all_月額5万円,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4065-7874-0010,コンテナハウス点検修理／豊田・三重同時募集／未経験可／土日祝休み/CI200010KSZ,株式会社レックス・コーポレーション,愛知県,正社員,all_月額5万円,公開中,10,1,10.0%,￥25,￥25,0,0,0.0%,￥0
4065-7874-0011,(26新卒)人間力で勝つオモロい会社を目指す／エンゲージメント全国1位/CI134525HSS,株式会社晃商,東京都,正社員,all_月額5万円,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4065-7874-0012,エンターテインメント事業部｜横浜・札幌・福岡｜賞与3.5ヶ月・住宅手当あり｜土日祝休・残業少なめ/CI134525HSS,株式会社晃商,東京都,正社員,all_月額5万円,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4065-7874-0013,エンターテインメント事業部｜土日祝休・残業少なめ｜賞与3.5ヶ月・住宅手当あり｜横浜・札幌・福岡/CI134525HSS,株式会社晃商,京都府,正社員,all_月額5万円,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4065-7874-0014,エンターテインメント事業部｜賞与3.5ヶ月・住宅手当あり｜横浜・札幌・福岡｜残業少なめ・土日祝休/CI134525HSS,株式会社晃商,京都府,正社員,all_月額5万円,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4065-7874-0015,未経験可両面型転職エージェント／インセンティブ制度／平均28歳/CI199496ECS,株式会社ユニゾン・テクノロジー,東京都,正社員,all_月額5万円,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4065-7874-0016,電気設備施工管理（変電工事）上場企業子会社／年休122日／賞与有/CI199465KDK,八洲プラント建設株式会社,東京都,正社員,all_月額5万円,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
