求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
6810-1556-0422,ブランド品・貴金属の買取営業/20代活躍中/月収50万以上可/ms,非公開,東京都,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1214,SNSマーケティングプランナーのアシスタント事務/20代活躍中/yt,非公開,大阪府,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1409,子供向けアクセサリーのカスタマーサポート/20代活躍中/完全週休二日制/LG,非公開,東京都,正社員,LG求人20231114,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1410,20代活躍中/スキンケア用品モニター内勤事務職（CHANELなど20代人気ブランド取り扱い）未経験OK/LG,非公開,東京都,正社員,LG求人20231114,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1412,エンタメ企業の一般事務職/20代活躍中/年間休日130日/LG,非公開,東京都,正社員,LG求人20231114,公開中,8,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1414,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,東京都,正社員,LG求人20231114,公開中,54,6,11.1%,￥25,￥150,0,0,0.0%,￥0
6810-1556-1419,韓国コスメのSNS企画運用サポート/20代活躍中/趣味と仕事の両立/LG,非公開,東京都,正社員,LG求人20231114,公開中,16,2,12.5%,￥25,￥50,0,0,0.0%,￥0
6810-1556-1420,20代活躍中/未経験可/オーダーメイドシューズの内勤営業職（革靴）～月残業平均５H以下/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1423,20代活躍中/未経験可/オーダーメイドシューズの内勤営業職（革靴）～月残業平均５H以下/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1426,20代活躍中/未経験可/オーダーメイドシューズの内勤営業職（革靴）～月残業平均５H以下/LG,非公開,千葉県,正社員,LG求人20231114,公開中,8,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1438,20代活躍中/未経験可/オーダーメイドシューズの内勤営業職（革靴）～月残業平均５H以下/LG,非公開,東京都,正社員,LG求人20231114,公開中,11,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1441,20代活躍中/未経験可/オーダーメイドシューズの内勤営業職（革靴）～月残業平均５H以下/LG,非公開,大阪府,正社員,LG求人20231114,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1445,20代活躍中/未経験可/オーダーメイドシューズの内勤営業職（革靴）～月残業平均５H以下/LG,非公開,大阪府,正社員,LG求人20231114,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1450,20代活躍中/未経験可/オーダーメイドシューズの内勤営業職（革靴）～月残業平均５H以下/LG,非公開,愛知県,正社員,LG求人20231114,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1452,子供向けアクセサリーのカスタマーサポート/20代活躍中/完全週休二日制/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,21,1,4.8%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1454,子供向けアクセサリーのカスタマーサポート/20代活躍中/完全週休二日制/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,21,1,4.8%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1455,子供向けアクセサリーのカスタマーサポート/20代活躍中/完全週休二日制/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,10,0,0.0%,￥0,￥0,0,0,0.0%,￥0
