求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
3795-2130-0001,IT事務職,非公開,東京都,正社員,新規作成20230901,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0006,年収2000万円～可能／5年分の年収を1年で稼ぐ反響営業／キャリアアップを応援！/KT,非公開,埼玉県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0007,【未経験OK・20代や外国籍の方も活躍中！！】ホテルフロントスタッフ/YT,非公開,東京都,正社員,新規作成20230901,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0010,【１年の半分以上がお休み！２０代～６０代まで幅広く活躍中！稼ぎたい方、必見！ノルマ無し！完全未経験でも大歓迎！】タクシードライバー/YT,非公開,東京都,正社員,新規作成20230901,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0012,【未経験OK!!・20代活躍中】営業事務（アシスタント）としてキャリアアップ可能！！/YT,非公開,東京都,正社員,salAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0015,未経験から始めるホームカウンセラー/服装・ネイル・自由/年休145日以上/KT,非公開,埼玉県,正社員,新規作成20230901,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0017,行列ができるトマトラーメンのオープニングスタッフ！/あなたのアイデアが形に！/年休130日/正社員/KT,非公開,埼玉県,正社員,新規作成20230901,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0021,IT事務職,非公開,埼玉県,正社員,新規作成20230901,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0031,IT事務職,非公開,福岡県,正社員,新規作成20230901,公開中,6,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0032,IT事務職,非公開,福岡県,正社員,新規作成20230901,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
