求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
2543-5797-0945,ハンバーガーショップの接客販売スタッフ/ダイバーシティな社風/幅広いキャリア選択可,非公開,東京都,正社員,serAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
2543-5797-1078,老舗専門商社のルート営業/20代活躍中/賞与年4回支給,非公開,埼玉県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
2543-5797-1082,老舗専門商社のルート営業/20代活躍中/賞与年4回支給,非公開,埼玉県,正社員,salAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
2543-5797-1754,オーダーメイド家具の受付事務/20代活躍中/年間休日130日,非公開,大阪府,正社員,boAB,公開中,3,1,33.3%,￥25,￥25,0,0,0.0%,￥0
2543-5797-1760,オーダーメイド家具の受付事務/20代活躍中/年間休日130日,非公開,愛知県,正社員,boAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
2543-5797-1762,オーダーメイド家具の受付事務/20代活躍中/年間休日130日,非公開,愛知県,正社員,boBB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
2543-5797-2096,葬儀の相談窓口事務/受付～20代活躍中/寮社宅あり,非公開,大阪府,正社員,boAB,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
2543-5797-2100,葬儀の相談窓口事務/受付～20代活躍中/寮社宅あり,非公開,大阪府,正社員,boAB,公開中,6,3,50.0%,￥25,￥75,0,0,0.0%,￥0
2543-5797-2103,葬儀の相談窓口事務/受付～20代活躍中/寮社宅あり,非公開,愛知県,正社員,boBB,公開中,8,0,0.0%,￥0,￥0,0,0,0.0%,￥0
2543-5797-2111,営業事務/海外ブランドの貿易サポート~20代活躍中/年間休日125日,非公開,千葉県,正社員,boAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
2543-5797-2116,営業事務/海外ブランドの貿易サポート~20代活躍中/年間休日125日,非公開,神奈川県,正社員,boAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
2543-5797-2125,営業事務/海外ブランドの貿易サポート~20代活躍中/年間休日125日,非公開,福岡県,正社員,boBB,公開中,10,0,0.0%,￥0,￥0,0,0,0.0%,￥0
2543-5797-2126,営業事務/海外ブランドの貿易サポート~20代活躍中/年間休日125日,非公開,大阪府,正社員,boAB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
2543-5797-2129,営業事務/海外ブランドの貿易サポート~20代活躍中/年間休日125日,非公開,大阪府,正社員,上位KYDD20231115（事務）,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
2543-5797-2134,営業事務/海外ブランドの貿易サポート~20代活躍中/年間休日125日,非公開,愛知県,正社員,boAB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
2543-5797-2140,ステンレスメーカーの営業事務/20代活躍中/月残業１０H以下,非公開,埼玉県,正社員,boAB,公開中,5,1,20.0%,￥25,￥25,0,0,0.0%,￥0
2543-5797-2161,ステンレスメーカーの営業事務/20代活躍中/月残業１０H以下,非公開,大阪府,正社員,boAB,公開中,6,0,0.0%,￥0,￥0,0,0,0.0%,￥0
2543-5797-2163,ステンレスメーカーの営業事務/20代活躍中/月残業１０H以下,非公開,愛知県,正社員,boBB,公開中,10,1,10.0%,￥25,￥25,0,0,0.0%,￥0
2543-5797-2171,カレンダー出版企業の営業事務/20代活躍中/年間休日125日,非公開,埼玉県,正社員,boAB,公開中,8,3,37.5%,￥25,￥75,0,0,0.0%,￥0
