求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
6076-6421-0005,20代活躍中/全国各地への出張あり/探偵事務所の現地調査員（盗聴・盗撮機器の発見など）～出張先での休暇可,非公開,東京都,正社員,新規作成求人20230823,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6076-6421-0007,20代活躍中/全国各地への出張あり/探偵事務所の現地調査員（財産調査など）～出張先での休暇可,非公開,東京都,正社員,新規作成求人20230823,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6076-6421-0010,20代活躍中/ヒアリングに自信のある方/探偵事務所のカウンセリングスタッフ～カウンセリングはオンライン実施,非公開,東京都,正社員,新規作成求人20230823,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6076-6421-0011,20代活躍中/事務経験不問/探偵事務所の総務事務～成長と適性に応じて幅広いキャリアプランを用意しております～,非公開,東京都,正社員,boAB,公開中,24,2,8.3%,￥25,￥50,0,0,0.0%,￥0
6076-6421-0014,20代活躍中/人事アシストタント職～経験不問　面接や選考のアシスタント業務,非公開,埼玉県,正社員,新規作成求人20230823,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6076-6421-0017,20代活躍中/人事アシストタント職～経験不問　面接や選考のアシスタント業務,非公開,千葉県,正社員,新規作成求人20230823,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6076-6421-0019,20代活躍中/人事アシストタント職～経験不問　面接や選考のアシスタント業務,非公開,神奈川県,正社員,新規作成求人20230823,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6076-6421-0023,20代活躍中/人事アシストタント職～経験不問　面接や選考のアシスタント業務,非公開,神奈川県,正社員,新規作成求人20230823,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6076-6421-0025,20代活躍中/人事アシストタント職～経験不問　面接や選考のアシスタント業務,非公開,東京都,正社員,新規作成求人20230823,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6076-6421-0027,20代活躍中/人事アシストタント職～経験不問　面接や選考のアシスタント業務,非公開,福岡県,正社員,新規作成求人20230823,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
