求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
8329-0891-0011,20代活躍中/海外人材と企業を繋ぐキャリアコーディネーター/AB91011/sal/nd/mi,株式会社テクノスマイル,愛知県,正社員,consulBD,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0021,不動産事務//CI25937/ofw/nd,一心エステート株式会社,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0023,20代活躍中/営業事務/CI50396/ofw/nd,株式会社キッカケクリエイション,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0024,20代活躍中/事務職/CI34445/ofw/nd,ヴォイスキャリアコンサルティング株式会社,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0028,20代活躍中/経営企画/経営企画担当/CI33783/ofw/nd,SBIインシュアランスグループ株式会社,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0030,20代活躍中/グループ人事担当（マネージャー候補）/CI49226/ofw/nd,株式会社アイスタイル,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0039,"CS. PM/エンタープライズ プロジェクトマネージャー//CI33055/ofw/nd",株式会社Goals,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0041,"20代活躍中/M&A アドバイザリー（ポテンシャル採用）/CI7871/ofw/nd",株式会社パラダイムシフト,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0043,"20代活躍中/M&A アドバイザリー/CI7879/ofw/nd",株式会社パラダイムシフト,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0047,20代活躍中/営業アシスタント/CI30925/ofw/nd,INTLOOP株式会社,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0093,20代活躍中/バックエンドエンジニア/AB19695/eng/nd,株式会社Catallaxy,東京都,正社員,ITAD,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0618,20代活躍中/採用責任者/CI47611/ofw/nd,株式会社Azoop,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0621,20代活躍中/人事採用担当/CI41020/ofw/nd,株式会社カラダノート,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0637,20代活躍中/営業事務/CI49546/ofw/nd,株式会社マーケットエンタープライズ,東京都,正社員,事務系求人20230713,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0641,20代活躍中/知財担当スタッフ/CI47187/ofw/nd,万田発酵株式会社,大阪府,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0659,20代活躍中/営業事務/CI51489/ofw/nd,株式会社ランドネット,大阪府,正社員,事務系求人20230713,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0716,20代活躍中/営業事務/CI49548/ofw/nd,株式会社マーケットエンタープライズ,神奈川県,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0746,20代活躍中/事務・カスタマーサクセス/CI15492/ofw/nd,株式会社bサーチ,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0748,20代活躍中/営業アシスタント/CI49479/ofw/nd,ヴァンテージマネジメント株式会社,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0753,不動産企画開発営業/CI52826/ofw/nd,株式会社旭ハウジング,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0802,20代活躍中/経理事務職/AB9855/ofw/nd,セフテック株式会社,愛知県,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0912,20代活躍中/一般事務（契約書作成、請求作成業務）/AB69792/ofw/nd,株式会社ベジコープ,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0913,20代活躍中/営業事務/AB103757/ofw/nd,株式会社リアリースエージェント,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0917,20代活躍中/学校企画運営スタッフ/AB87297/ofw/nd,株式会社ガネット,東京都,正社員,事務系求人20230713,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-0974,20代活躍中/経営企画/AB18088/ofw/nd,株式会社エスコ,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-1154,20代活躍中/営業事務/AB92308/ofw/nd,株式会社一広ケーアンドエー,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-1156,20代活躍中/新規事業開発（BizDev）／責任者候補/AB37950/ofw/nd,エス・シー・テクノロジー株式会社,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-1158,20代活躍中/グループ会社の経営サポート/AB32781/ofw/nd,TAKUMINOホールディングス株式会社,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-1161,"20代活躍中/建材支店・営業サポート事務職/ /AB95605/ofw/nd",株式会社アベルコ,東京都,正社員,事務系求人20230713,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-1167,CAD事務//AB56059/ofw/nd,株式会社ワット・コンサルティング,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-1170,20代活躍中/経営企画アシスタント職/AB105331/ofw/nd,株式会社Ｅｎｊｉｎ,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-1173,20代活躍中/人材コンサルタント/AB21552/ofw/nd,株式会社アスパーク,愛知県,正社員,事務系求人20230713,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-1177,20代活躍中/人材コンサルタント/AB21552/ofw/nd,株式会社アスパーク,神奈川県,正社員,事務系求人20230713,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-1185,"20代活躍中/人事労務 /AB77977/ofw/nd",ＢＣホールディングス株式会社,大阪府,正社員,事務系求人20230713,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-1193,20代活躍中/採用企画/AB20677/ofw/nd,株式会社アールナイン,東京都,正社員,事務系求人20230713,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-1203,20代活躍中/事務/AB20118/ofw/nd,株式会社アベルコ,東京都,正社員,事務系求人20230713,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-1205,20代活躍中/経理財務,ヴァンテージマネジメント株式会社,東京都,正社員,MarAD,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-1209,郵便管理・事務//AB69575/ofw/nd,ナビライフジャパン株式会社,東京都,正社員,事務系求人20230713,公開中,22,1,4.6%,￥25,￥25,0,0,0.0%,￥0
8329-0891-1213,20代活躍中/顧客の商品・サービスの販促／プロモーション運営/AB74484/ofw/nd,株式会社ヒト・コミュニケーションズ,東京都,正社員,事務系求人20230713,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-1214,20代活躍中/サービス企画/AB92620/ofw/nd,株式会社マーケットエンタープライズ,東京都,正社員,事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-1216,20代活躍中/通信基地局開設業務/AB49536/ofw/nd,株式会社ワールドフェイマス,福岡県,正社員,事務系求人20230713,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-1217,20代活躍中/人材コンサルタント/AB21552/ofw/nd,株式会社アスパーク,福岡県,正社員,事務系求人20230713,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-2228,"WeWork 半蔵門勤務/20代活躍中/未経験可/管理事務（オープンポジション）　年収360万円～　土日祝休み",レバレジーズ株式会社,東京都,"正社員,契約社員",事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-2229,渋谷スクランブルスクエア勤務/20代活躍中/未経験可/管理事務（オープンポジション）　年収360万円～　土日祝休み,レバレジーズ株式会社,東京都,"正社員,契約社員",事務系求人20230713,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-2235,TVショッピングの問い合わせ対応/20代活躍中/受電対応/mi,非公開,東京都,正社員,DD求人20231016,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-2236,アウトソーシングプロジェクトの管理事務/20代活躍中/年間休日130日/mi,非公開,東京都,正社員,DD求人20231016,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-2237,自社総合通販のお客様対応スタッフ/20代活躍中/年間休日130日/mi,非公開,東京都,正社員,DD求人20231016,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
8329-0891-2243,コールドクターのコールセンタースタッフ/20代活躍中/残業月10H以下/mi,非公開,埼玉県,正社員,DD求人20231016,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
