求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
1733-0292-0016,20代活躍中/未経験可/手に職付けられる/CAD事務職～引っ越し費用負担,非公開,福島県,正社員,boCB,公開中,18,1,5.6%,￥25,￥25,0,0,0.0%,￥0
1733-0292-0022,20代活躍中/未経験可/手に職付けられる/CAD事務職～引っ越し費用負担,非公開,群馬県,正社員,boCB,公開中,8,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0025,20代活躍中/未経験可/施工管理職～引っ越し費用全額負担,非公開,千葉県,正社員,constBB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0029,20代活躍中/未経験可/施工管理職～引っ越し費用全額負担,非公開,神奈川県,正社員,constBB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0034,20代活躍中/未経験可/手に職付けられる/CAD事務職～引っ越し費用負担,非公開,富山県,正社員,boCB,公開中,3,1,33.3%,￥25,￥25,0,0,0.0%,￥0
1733-0292-0042,20代活躍中/未経験可/手に職付けられる/CAD事務職～引っ越し費用負担,非公開,長野県,正社員,boCB,公開中,10,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0049,20代活躍中/未経験可/施工管理職～引っ越し費用全額負担,非公開,三重県,正社員,constBB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0054,20代活躍中/未経験可/手に職付けられる/CAD事務職～引っ越し費用負担,株式会社PARTAGE,京都府,正社員,事務系fd求人,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0056,20代活躍中/未経験可/手に職付けられる/CAD事務職～引っ越し費用負担,非公開,大阪府,正社員,事務系fd求人,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0087,20代活躍中/未経験可/施工管理職～引っ越し費用全額負担,非公開,熊本県,正社員,constBB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0094,20代活躍中/未経験可/手に職付けられる/CAD事務職～引っ越し費用負担,非公開,鹿児島県,正社員,boCB,公開中,6,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0235,20代活躍中/海外留学アドバイザー,非公開,"東京都,東京都,東京都,東京都,埼玉県,千葉県,神奈川県,大阪府,大阪府,愛知県",正社員,事務系fd求人,公開中,11,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0243,20代活躍中/ホテルインテリアコーディネーター,非公開,"東京都,東京都,東京都,東京都,埼玉県,千葉県,神奈川県,大阪府,大阪府,愛知県",正社員,事務系fd求人,公開中,9,1,11.1%,￥25,￥25,0,0,0.0%,￥0
1733-0292-0246,ITサポートスタッフの受付,非公開,"東京都,東京都,東京都,東京都,埼玉県,千葉県,神奈川県,大阪府,大阪府,愛知県",正社員,事務系fd求人,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0256,フードスタイリスト募集！料理の盛り付けやディスプレイを担当する仕事です。,非公開,"東京都,東京都,東京都,東京都,埼玉県,千葉県,神奈川県,大阪府,大阪府,愛知県",正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0262,スポーツ栄養士募集！未経験者でもチャレンジ可能！,非公開,"東京都,東京都,東京都,東京都,埼玉県,千葉県,神奈川県,大阪府,大阪府,愛知県",正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0269,20代活躍中/スタジアムイベントの受付,非公開,"東京都,東京都,東京都,東京都,埼玉県,千葉県,神奈川県,大阪府,大阪府,愛知県",正社員,事務系fd求人,公開中,10,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0279,20代活躍中/コールセンターの受付担当者募集！,非公開,"東京都,東京都,東京都,東京都,埼玉県,千葉県,神奈川県,大阪府,大阪府,愛知県",正社員,事務系fd求人,公開中,20,1,5.0%,￥25,￥25,0,0,0.0%,￥0
1733-0292-0280,20代活躍中/インバウンドコールセンターの受付求人,非公開,"東京都,東京都,東京都,東京都,埼玉県,千葉県,神奈川県,大阪府,大阪府,愛知県",正社員,事務系fd求人,公開中,22,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0284,食品メーカーでの人事総務アシスタント,非公開,"東京都,東京都,東京都,東京都,埼玉県,千葉県,神奈川県,大阪府,大阪府,愛知県",正社員,事務系fd求人,公開中,10,0,0.0%,￥0,￥0,0,0,0.0%,￥0
1733-0292-0285,広告代理店での人事総務アシスタント,非公開,"東京都,東京都,東京都,東京都,埼玉県,千葉県,神奈川県,大阪府,大阪府,愛知県",正社員,事務系fd求人,公開中,7,1,14.3%,￥25,￥25,0,0,0.0%,￥0
