求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
4393-2651-0010,20代活躍中/明確な評価基準で公平/K－POPカフェの企画運営（Z世代人気インジョルミトーストなど）,非公開,東京都,正社員,新規作成求人20230818,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0011,20代活躍中/明確な評価基準で公平/K－POPカフェの接客販売職（Z世代人気レインボーケーキなど）,非公開,東京都,正社員,cusAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0013,20代活躍中/明確な評価基準で公平/K－POPカフェの接客販売職（Z世代人気ピンスなど）,非公開,東京都,正社員,cusAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0016,マーケスキルが身につく/高インセンティブ/プロモーションスタッフ職,非公開,東京都,正社員,新規作成求人20230818,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0020,20代活躍中/接客販売スタッフ/ブックカフェ/未経験OK,非公開,東京都,正社員,cusAB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0021,20代活躍中/接客販売スタッフ/ボードゲームカフェ/未経験OK～最新ボドゲ先取り," 非公開",東京都,正社員,cusAB,公開中,18,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0022,20代活躍中/接客販売スタッフ/マンガカフェ/未経験OK～無料漫画レンタル可～,非公開,東京都,正社員,cusAB,公開中,7,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0023,20代活躍中/接客販売スタッフ/オーガニックカフェ/未経験OK～美容手当～月3万円支給,非公開,東京都,正社員,cusAB,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0029,20代活躍中/チョコレートブランドの販売職～社割あり,非公開,東京都,正社員,cusAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0030,20代活躍中/巷で話題/高級相席ラウンジの接客スタッフ～VIP客のみの対応,非公開,埼玉県,正社員,cusAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0032,20代活躍中/巷で話題/高級相席ラウンジの接客スタッフ～VIP客のみの対応,非公開,埼玉県,正社員,cusAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0033,20代活躍中/巷で話題/高級相席ラウンジの接客スタッフ～VIP客のみの対応,非公開,埼玉県,正社員,cusAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0035,20代活躍中/巷で話題/高級相席ラウンジの接客スタッフ～VIP客のみの対応,非公開,千葉県,正社員,cusAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0037,20代活躍中/巷で話題/高級相席ラウンジの接客スタッフ～VIP客のみの対応,非公開,神奈川県,正社員,cusAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0038,20代活躍中/巷で話題/高級相席ラウンジの接客スタッフ～VIP客のみの対応,非公開,神奈川県,正社員,cusAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0039,20代活躍中/巷で話題/高級相席ラウンジの接客スタッフ～VIP客のみの対応,非公開,神奈川県,正社員,cusAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0040,20代活躍中/巷で話題/高級相席ラウンジの接客スタッフ～VIP客のみの対応,非公開,神奈川県,正社員,cusAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0041,20代活躍中/巷で話題/高級相席ラウンジの接客スタッフ～VIP客のみの対応,非公開,神奈川県,正社員,cusAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0043,20代活躍中/巷で話題/高級相席ラウンジの接客スタッフ～VIP客のみの対応,非公開,東京都,正社員,cusAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0044,20代活躍中/巷で話題/高級相席ラウンジの接客スタッフ～VIP客のみの対応,非公開,福岡県,正社員,cusAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0045,20代活躍中/巷で話題/高級相席ラウンジの接客スタッフ～VIP客のみの対応,非公開,福岡県,正社員,cusAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0047,20代活躍中/巷で話題/高級相席ラウンジの接客スタッフ～VIP客のみの対応,非公開,大阪府,正社員,cusAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0049,20代活躍中/巷で話題/高級相席ラウンジの接客スタッフ～VIP客のみの対応,非公開,大阪府,正社員,cusAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0051,20代活躍中/巷で話題/高級相席ラウンジの接客スタッフ～VIP客のみの対応,非公開,大阪府,正社員,cusAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0053,20代活躍中/巷で話題/高級相席ラウンジの接客スタッフ～VIP客のみの対応,非公開,愛知県,正社員,cusAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0055,20代活躍中/巷で話題/高級相席ラウンジの接客スタッフ～VIP客のみの対応,非公開,愛知県,正社員,cusAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0056,20代活躍中/男女ともに活躍中/高級相席ラウンジの企画運営スタッフ～美味しい賄い付き,非公開,埼玉県,正社員,新規作成求人20230818,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0059,20代活躍中/男女ともに活躍中/高級相席ラウンジの企画運営スタッフ～美味しい賄い付き,非公開,埼玉県,正社員,新規作成求人20230818,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0060,20代活躍中/男女ともに活躍中/高級相席ラウンジの企画運営スタッフ～美味しい賄い付き,非公開,埼玉県,正社員,新規作成求人20230818,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0061,20代活躍中/男女ともに活躍中/高級相席ラウンジの企画運営スタッフ～美味しい賄い付き,非公開,千葉県,正社員,新規作成求人20230818,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0063,20代活躍中/男女ともに活躍中/高級相席ラウンジの企画運営スタッフ～美味しい賄い付き,非公開,神奈川県,正社員,新規作成求人20230818,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0066,20代活躍中/男女ともに活躍中/高級相席ラウンジの企画運営スタッフ～美味しい賄い付き,非公開,神奈川県,正社員,新規作成求人20230818,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0068,20代活躍中/男女ともに活躍中/高級相席ラウンジの企画運営スタッフ～美味しい賄い付き,非公開,東京都,正社員,新規作成求人20230818,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0070,20代活躍中/男女ともに活躍中/高級相席ラウンジの企画運営スタッフ～美味しい賄い付き,非公開,福岡県,正社員,新規作成求人20230818,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
4393-2651-0079,20代活躍中/男女ともに活躍中/高級相席ラウンジの企画運営スタッフ～美味しい賄い付き,非公開,愛知県,正社員,新規作成求人20230818,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
